File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\simpletablemodel.cxx,"GUI::SimpleTableModel::headerData( int section, Qt::Orientation orientation, int role ) const",52,39,17,12,4,0,9,22,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\simpletablemodel.cxx,"GUI::SimpleTableModel::setHeaderData( int section, Qt::Orientation orientation, const QVariant& value, int role )",37,32,19,8,5,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\simpletablemodel.cxx,GUI::SimpleTableModel::flags(const QModelIndex& index) const,36,33,17,7,3,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\simpletablemodel.cxx,"GUI::SimpleTableModel::setFlags(const QModelIndex& index, Qt::ItemFlags flags)",18,17,9,5,1,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\simpletablemodel.cxx,"GUI::SimpleTableModel::insertRows( int row, int count, const QModelIndex& parent )",35,31,16,7,4,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\simpletablemodel.cxx,"GUI::SimpleTableModel::removeRows( int row, int count, const QModelIndex& parent )",31,27,15,7,4,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\simpletablemodel.cxx,"GUI::SimpleTableModel::insertColumns( int col, int count, const QModelIndex& parent )",35,31,14,7,4,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\simpletablemodel.cxx,"GUI::SimpleTableModel::removeColumns( int col, int count, const QModelIndex& parent )",37,33,17,9,4,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\simpletablemodel.cxx,GUI::SimpleTableModel::clear(const QModelIndex& parent),20,16,10,4,4,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\simpletablemodel.cxx,"GUI::SimpleTableModel::clear(const QVariant& value, const QModelIndex& parent)",20,16,10,4,4,0,0,0,
C:\Users\Alex\Dropbox\Development\Qt\LinearOptimization\src\gui\simpletablemodel.cxx,"GUI::SimpleTableModel::clear( int rowFirst, int colFirst, int rowLast, int colLast, const QVariant& value, const QModelIndex& parent )",44,41,16,9,3,0,0,0,
